ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
03-32,28/03/2023 14:12,https://twitter.com/Jepoy87840348/status/1485403535701606406,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@Jepoy87840348,CrisosTUKMOL Ibarra,I'd rather fall in chocolate,Anonymous,01-May,38,49,,"@PaxtonDy Nagsalita ang punagmalaking nakuryente ang iisang bayag, wag ka na Neil Colmenares. Bilang na araw nyo mga unggoy ni Joma Sison. Paubos na mga uto uto nyong NPA sa bundok, at bumalimbing na ang iba sa NDF nyo.ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",,"Text, Reply",24/01/2022 8:06,00-33.png,Emotional,5,0,3,0,,FAKE,Fabricated Colmenares' ties to the NPA and Joma Sison,No location was given.,,,,,
03-33,28/03/2023 14:12,https://twitter.com/lempertus/status/1485582727265263618,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@lempertus,Lelouch lempertus,BBM,Anonymous,10-Oct,17,23,,@ClosetMenChu @olymichael @ColmenaresPH @atomaraullo Yan ang hindi maintindihan nga mga tangang kakampink...tignan mo si neri colmenares puro ngawngaw...s ngawngaw lang malakas e...NPA kasi ang gago,,"Text, Reply",24/01/2022 19:58,00-34.png,Transactional,1,2,0,0,,FAKE,Fabricated Colmenares' ties to the NPA to discredit Leni supporters,No location was given.,,,,,
03-34,28/03/2023 14:12,https://twitter.com/tofi_manaloto/status/1485927707544551428,3,"Morco, Michael Benjamin",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@tofi_manaloto,Kristoffer Manaloto,,Identified,Feb-13,460,36,Makati City,"@mlq3 NPA Supporters! Akbayan at Colmenares, radical extrimists",,"Text, Reply",25/01/2022 18:49,https://drive.google.com/file/d/1wpNssIpT6Uc9wXTRoRIxF1cu1uNzvmY3/view?usp=share_link,Rational,1,0,0,0,,FAKE,Fabrication of Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No Bio was given.,,,,,
03-35,28/03/2023 14:12,https://twitter.com/Ikigai2_8/status/1486015778440712192,3,"Dantis, Aurel Jared",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@Ikigai2_8,Ikigai,Fk,Anonymous,07-Jan,64,12,"New York, USA",@mannycatabas @ColmenaresPH Impeachable dba? bat ayaw mag file ni Neri ng Impeachment Case kay Digong? hahahaha ðŸ¤£ Tanong mo si Neri kung bakit alam nilang 25K ang food budget ng oversize NPA platoon sa loob ng 2 buwan.,,"Text, Reply",26/01/2022 0:39,00-36.png,Emotional,0,0,0,0,,,Ikigai is a Japanese concept that has seen emergence in PH pop culture at least once. It is not a common given Philippine name. No fact-checked sources found to back 25K NPA food budget claim., ,,,,,
03-36,28/03/2023 14:12,https://twitter.com/Ikigai2_8/status/1486016747446566914,3,"Dantis, Aurel Jared",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@Ikigai2_8,Ikigai,Fk,Anonymous,07-Jan,64,12,"New York, USA","@NarsFlorence @notetoself47 @ColmenaresPH Tanongin mo nga si Neri pano nya nalaman na 25K yung budget sa food ng oversize NPA platoon for 2 months? 
 
 Impeachable pla di mag public ng SALN bakit si Pduts ayaw nya ipaImpeach?",,"Text, Reply",26/01/2022 0:42,00-37.png,Emotional,0,1,0,0,,UNPROVEN,No fact-checked sources found to back 25K NPA food budget claim., ,,,,,
03-37,28/03/2023 14:12,https://twitter.com/Ikigai2_8/status/1486017791450701826,3,"Dantis, Aurel Jared",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@Ikigai2_8,Ikigai,Fk,Anonymous,07-Jan,64,12,"New York, USA","@ColmenaresPH ""Neri Colmenares and Rene Magtugbo, I was told, said no way would the finance officers of their ""party groups,"" whatever these are, authorize an allocation of P25,000 for a dinner. That's the food budget of an oversized NPA platoon for two months, one of them explained.""ðŸ˜‚",,"Text, Reply",26/01/2022 0:47,00-38.png,Rational,0,0,0,0,,UNPROVEN,"Tweet contains an excerpt of Rigoberto Tiglao's blog post on an alleged fundraising project for Leni Robredo, which itself does not cite hard sources and is not backed up by any other article.", ,,,,,
03-38,28/03/2023 14:12,https://twitter.com/antonralph/status/1486561411236970496,3,"Dantis, Aurel Jared",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,cpp colmenares,@antonralph,First Quarter Storm,,Anonymous,May-19,200,82,,"@PhilstarNews To tell the Truth , Why dont you tell Mr. Colmenares that your Bayan Muna party list is a legal front of CPP and you are allied with Joma Sison , tingnan niyo muna sarili niyo bago kayo humusga ng kalaban niyo sa politika.",,"Text, Reply",27/01/2022 12:47,00-39.png,Emotional,0,2,0,0,,,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given. No Bio was given.,,,,,
03-39,28/03/2023 14:12,https://twitter.com/BeljicaJae/status/1486564536014364676,3,"Dantis, Aurel Jared",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@BeljicaJae,Jameson Jae Beljica,"#BBMFORPRESIDENT2022
 Sa Twitter Academy lang malakas si LugawðŸ¤£ðŸ¤£ hindi sa maralitang Pilipino.
 #LetLeniLeave the Philippines",Identified,01-Oct,80,0,,"@ColmenaresPH Yun lang Neri, ikaw nga NPA hndi umaamin, salot!",,"Text, Reply",27/01/2022 12:59,00-40.png,Emotional,0,0,0,0,,FAKE,Fabricated Colmenares' ties to the NPA,No location was given.,,,,,
03-40,28/03/2023 14:12,https://twitter.com/B007Guy/status/1486641863243100162,3,"Morco, Michael Benjamin",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@B007Guy,Fun Guy,,Anonymous,04-Feb,22,9,,"@inquirerdotnet Sige pa Colmenares, isiksik mo pa sarili mo. Wala ka pa rin pagasa manalo. Bumalik ka na lang sa bundok kasama ang tropa mong NPA",,"Text, Reply",27/01/2022 18:06,https://drive.google.com/file/d/1qfgX75MclUFE-eg0YCq9zsuUBsIFSmSK/view?usp=share_link,Emotional,0,0,0,0,,FAKE,Fabrication of Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given. No Bio was given.,,,,,
03-41,28/03/2023 14:12,https://twitter.com/dozZ3h_Vbril/status/1486690545670197251,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@dozZ3h_Vbril,t ❤_💚 k! rO ツ,â¤ðŸ’šâœŒðŸ‘Š,Anonymous,09-Mar,2147,3130,,"nag iingay ka din tulad ni Rowena Guanzon?ðŸ¤£ðŸ˜…ðŸ¤£
 Ka Neri na NPA di na uubra style mo at alam ko ngayon pa lang takot na ang Grupo niyo dahil pag nanalo si BBM ðŸ˜…ðŸ˜…ðŸ˜… utas kayo.",,"Text, Reply",27/01/2022 21:20,00-42.png,Emotional,9,0,0,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,
03-42,28/03/2023 14:12,https://twitter.com/dTnalakRiderSR/status/1486747116760297472,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@dTnalakRiderSR,KulasSR,Right and Wrong depends on the MAJORITY of the people in the society where you live in of what is Right and Wrong. DEMOCRACY,Anonymous,Oct-28,1520,3276,,"@jd_specter @LakasNgTimog Mas maraming pinatay ang mga NPA, bakit ayaw nyo na humingi ng tawag din si Joma, Chel, Satur, Colmenares, Sarah Elago at mga ibang alipores ni Jomang NDF?",,"Text, Reply",28/01/2022 1:05,00-43.png,Rational,2,0,0,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],Fictitious location was given and redacted. ,,,,,
03-43,28/03/2023 14:12,https://twitter.com/AgudaCecile/status/1487028076248592385,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@AgudaCecile,Infinite Theorem...ðŸ‘ŠðŸ‡µðŸ‡­,Top,Anonymous,Nov-19,125,44,,"@Sinel1Sinel @iampinglacson @MargarethMiche6 Haha si Abnoy pa ang ina admire na minura ng isang Ambassador ng Amerika noong kasagsagan ng Hearing ng SAF 44 mismo sa Malacanang.Pathetic.weeeh, di nga kinalaban niya ang mga NPA eh, tiklop nga sya sa mga Teroristang si Colmenares noong sa sinado at nilaglag niya ang NTF ELCAC",,"Text, Reply",28/01/2022 19:41,00-44.png,Emotional,0,0,0,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,
03-44,28/03/2023 14:12,https://twitter.com/Nityago/status/1487053715659845632,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@Nityago,Nita ug Tiyago,"Bahala'g pobre, basta hilas!",Anonymous,12-Feb,171,64,,@ColmenaresPH Si Neri ay kasapi ng NPA. End of story.,,"Text, Reply",28/01/2022 21:23,00-45.png,Emotional,0,0,0,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,
03-45,28/03/2023 14:12,https://twitter.com/JamesMamaril4/status/1487062708897792002,3,"Morco, Michael Benjamin",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@JamesMamaril4,James Mamaril,Are you sure you wanna mess with me? Really?,Identified,11-Nov,487,303,Calabarzon,"1Sambayan is actually a museum of trash. So, you are a perfect addition to that, NPA Colmenares. Congrats!",,"Text, Reply",28/01/2022 21:59,https://drive.google.com/file/d/1GRe80PcPAsldw6rm1TPrfjsEYf6xzDXE/view?usp=share_link,Emotional,1,0,1,0,,FAKE,Fabrication of Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022], ,,,,,
03-46,28/03/2023 14:12,https://twitter.com/RoyGivens10/status/1487124705849090067,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@RoyGivens10,Roy Givens,,Anonymous,12-Apr,0,0,,"@bongbongmarcos Because Robredo is NPA, then Guanzon &amp; Neri who point their finger at me from ""right"" to UP Left are NPAs too since they will vote for Robredo and not Marcos.- Domingo, Intelligence Chief, CPP-NPA.",,"Text, Reply",29/01/2022 2:05,00-47.png,Rational,0,1,0,0,,FAKE,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022] and quote from alleged NPA cadre,No location was given. No Bio was given.,,,,,
03-47,28/03/2023 14:12,https://twitter.com/edoc62/status/1487173174852681729,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@edoc62,Edgardo Catambing,,Identified,12-Jan,5,1,,@PhilstarNews @XaveGregorio NPA advocate Colmenares endorsing fvpleny? So they are friends.,,"Text, Reply",29/01/2022 5:18,00-48.png,Transactional,0,0,0,0,,FAKE,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022] to discredit Robredo's endorsement,No location was given. No Bio was given.,,,,,
03-48,28/03/2023 14:12,https://twitter.com/SeanAlden8/status/1487259116179693571,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@SeanAlden8,Sean Alden,,Identified,Nov-22,618,62,,"At akbayan partylist member si Risa Hontiveros, Chel Diokno pro NPA at pro criminals, Colmenares my pamangkin na drug lord as cebu nahuli last 2017 at pro NPA at yong iba trapoe ðŸ˜‚ðŸ˜‚ðŸ˜‚",,Text,29/01/2022 10:59,00-49.png,Rational,0,0,0,0,,UNPROVEN,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022] and unproven claims with drug dealer relatives,No location was given. No Bio was given.,,,,,
03-49,28/03/2023 14:12,https://twitter.com/1vCruz/status/1487485007019008000,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@1vCruz,Expats Voice,"From Sirawan, Toril, Davao City. Been expats for several decades.",Anonymous,Mar-15,73,33,"Riyadh, Kingdom of Saudi Arabi","@PhilstarNews saan galing ang boto ni Colmenares na 30 millions? haha bolahi mo mga Npa na kasangga mo, kung may natira pa.",,"Text, Reply",30/01/2022 1:57,00-50.png,Emotional,1,0,0,0,,FAKE,Fabrication of Colmenares' ties to the CPP [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022], ,,,,,
03-50,28/03/2023 14:12,https://twitter.com/desertbum1012/status/1487671366803509249,3,"Morco, Michael Benjamin",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@desertbum1012,Douie,"I hate to see this country being shackled by the oligarch, after PRRD's departure.",Identified,Apr-22,23,13,"Duenas, Iloilo - lahing wak2","@ColmenaresPH Mr NPA Colmenares, hindi ka bagay sa Senado. Communist funk.",,"Text, Reply",30/01/2022 14:17,https://drive.google.com/file/d/1RalZ6wfDKJwytiVPPiMObyC0ZC1ZiFgD/view?usp=share_link,Emotional,0,0,0,0,,FAKE,Fabrication of Colmenares' ties to the communist factions [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022], ,,,,,
03-51,28/03/2023 14:12,https://twitter.com/Christi16411891/status/1487779354771787776,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa neri,@Christi16411891,ChristianRoy,dimalupig 81ðŸ’ª,Identified,Aug-19,104,18,,"@Pjgaron0 By all means try girl ,try , mas maganda sumamaka sa NPA ,at may kataga kang maririnig ,magiging lechon or cornbeefðŸ˜ðŸ¤”ðŸ‘ŠðŸ¤£ðŸŽ—ï¸ðŸ’©ðŸŽ—ï¸ sige na subukan mo lang dala ka granada isama mo na si neri/teddy casinÃ¸/sarah elags na membro ng npa try pls try",,"Text, Reply",30/01/2022 21:26,00-52.png,Emotional,3,0,0,0,,FAKE,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022] to discredit argument of account replied to,No location was given.,,,,,
03-52,28/03/2023 14:12,https://twitter.com/dozZ3h_Vbril/status/1487796694095831054,3,"Dantis, Aurel Jared",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@dozZ3h_Vbril,t ❤_💚 k! rO ツ,â¤ðŸ’šâœŒðŸ‘Š,Anonymous,09-Mar,2147,3130,,Sardinas at noodles ang pinag lalaban ng NPA hahaha ðŸ¤£ðŸ˜‚ðŸ˜… nasaan na yung pondo ng NPA? nagamit na ba ni Colmenares? ðŸ¤£,,"Text, Reply",30/01/2022 22:35,00-53.png,Rational,4,0,0,0,,,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,
03-53,28/03/2023 14:12,https://twitter.com/WinwinEklabu/status/1488758214577758209,3,"Morco, Michael Benjamin",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",Anonymous,12-Sep,6461,7113,Metro Manila,New People's Army or NPA leader Joma Sison officially endorsed the candidates Leni and Kiko along with a Pro-communist Neri colmenares. The names I mentioned are people you should not vote for because they are allies of a terrorist group. https://t.co/s8bg2N8g2F,,Image (including GIF),02/02/2022 14:16,https://drive.google.com/file/d/1Y0VNOKOtmLhr1hyNb9klsFaZMj_kNU4b/view?usp=share_link,Rational,116,8,57,22,,FAKE,"Fabricated endorsement of Joma Sison; Joma Sison did not endorse Leni. Source: https://www.tsek.ph/false-joma-sison-admits-to-advising-leni-robredo/, original source of misinformation: https://journalnews.com.ph/joma-admits-advising-leni/?fbclid=IwAR00wN7--rYZOvIFaOCGMEYjePW92Q1fvZMRWceZMJ7ktn6832AJLK_dX2s", ,,,,,
03-54,28/03/2023 14:12,https://twitter.com/pillay_sundram/status/1488830052955574274,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@pillay_sundram,Sundram Canagasabai Pillay,,Anonymous,Sep-24,6,1,,New People's Army or NPA leader Joma Sison officially endorsed the candidates Leni and Kiko along with a Pro-communist Neri colmenares. The names I mentioned are people you should not vote for because they are allies of a terrorist group.,,Text,02/02/2022 19:02,00-55.png,Transactional,0,0,0,0,,FAKE,Fabricated Colmenares' pro-communist leaning,No location was given. No Bio was given.,,,,,
03-55,28/03/2023 14:12,https://twitter.com/hj_dolkefli/status/1488830682860335107,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@hj_dolkefli,Tanasekharan Muhammad Hj Dolkefli,,Anonymous,Sep-24,7,0,,New People's Army or NPA leader Joma Sison officially endorsed the candidates Leni and Kiko along with a Pro-communist Neri colmenares. The names I mentioned are people you should not vote for because they are allies of a terrorist group.,,Text,02/02/2022 19:04,00-56.png,Transactional,0,0,0,0,,FAKE,Fabricated Colmenares' pro-communist leaning,No location was given. No Bio was given.,,,,,
03-56,28/03/2023 14:12,https://twitter.com/bingbongbarack/status/1488863920953520133,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@bingbongbarack,BongBongBong,"Ironically, the person youâ€™d take a bullet for sometimes ends up being the one behind the gun.",Anonymous,01-Aug,614,551,,"No way for the TERRORIST NPA to put its finger in a democratic government. Neri Colmenares is an NPA cadre. For Leni and Kiko, they have sold their souls to the TERRORIST for their selfish ambition and greed!
 This canâ€™t be clearer than this.",,"Text, Reply",02/02/2022 21:16,00-57.png,Transactional,0,0,0,0,,FAKE,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022] to discredit Leni-Kiko's endorsement,No location was given.,,,,,
03-57,28/03/2023 14:12,https://twitter.com/MarC012378/status/1489053996900024320,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@MarC012378,Marl,Basketball Government & Politics Music Music & Entertainment Sports Weather News,Anonymous,09-May,260,399,Republic of the Philippines,@ralphjms Kasi nga dilawan si diokno at bata ni sison si colmenares. Ano mapapala mo sa kanila?. Robin will not win though pero mas ok na siya kesa dilawan at NPA.,,Text,03/02/2022 9:51,00-58.png,Transactional,3,1,0,0,,FAKE,Fabricated Colmenares' ties to Sison, ,,,,,
03-58,28/03/2023 14:12,https://twitter.com/Allyrianne1/status/1489079190934622210,3,"Morco, Michael Benjamin",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,cpp neri,@Allyrianne1,Allyrianne,"| INFP-t | Ennegram: 4w5 | Tritype: 4-7-9 | Socionics: IEI - sx/sp | Dota 2 Maiden |
 
 .â™¥ Dream, explore. The night sky is endless. ð¶ð‘Žð‘Ÿð‘ð‘’ ð‘›ð‘œð‘ð‘¡ð‘’ð‘š. â™¥.",Anonymous,09-Dec,265,23,,"@ralphjms Why the fk would we choose Diokno and Neri eh they aligned themselves with the leftists?! Shuta lang? Lol. A good CPP-NPA-NDF is a dead one, including their cohorts and those who are aligned with them.",,"Text, Reply",03/02/2022 11:31,https://drive.google.com/file/d/1IVe4CD3L1zejMeoiK3K_hNpBMybd5YFQ/view?usp=share_link,Emotional,1,0,0,0,,FAKE,Fabrication of Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,
03-59,28/03/2023 14:12,https://twitter.com/nakamura_023/status/1489104808342867968,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@nakamura_023,Nakamura Masahiro,,Anonymous,10-Jan,11,3,,@ralphjms Yes kasi npa yan neri colmenares nyo at ung chel diokno nyo pinagmumulan ng gulo. Matalino mga pinoy ngayon wahahahaha,,"Text, Reply",03/02/2022 13:13,00-60.png,Transactional,0,0,0,0,,FAKE,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given. No Bio was given.,,,,,
03-60,28/03/2023 14:12,https://twitter.com/7silentmajority/status/1489516543671095299,3,"Adorna, Juris Hannah",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@7silentmajority,The Unforgiving,"I am a private citizen who is against anyone who wants to bring my country down. Mutes low quality wokes.
 
 (Not me on DP. Duh.)",Anonymous,Nov-30,132,3482,,"@thomaspambid Binay, de Lima, Colmenares (with NPA ties), and all NPA legal fronts endorsing Leni.** 
 
 The NPA will never become the lesser evil. ðŸ’…",,"Text, Reply",04/02/2022 16:29,00-61.png,Transactional,1,1,0,0,,FAKE,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022] to discredit Leni's endorsement,No location was given.,,,,,
03-61,28/03/2023 14:12,https://twitter.com/7silentmajority/status/1489599523223576580,3,"Dantis, Aurel Jared",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,npa colmenares,@7silentmajority,The Unforgiving,"I am a private citizen who is against anyone who wants to bring my country down. Mutes low quality wokes.
 
 (Not me on DP. Duh.)",Anonymous,Nov-30,132,3482,,"@VictorN81097206 @TetsMakino @bongbongmarcos And Leni has Binay, De Lima, Neri Colmenares and the legal NPA fronts. Try harder. ðŸ’…",,"Text, Reply",04/02/2022 21:59,00-62.png,Rational,0,1,0,0,,,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,
03-62,28/03/2023 14:12,https://twitter.com/shiningtwicexo/status/1489802812196155397,3,"Dantis, Aurel Jared",REDT,Neri Colmenares is affiliated with the CPP-NPA-NDF / is an ex-cadre of the CPP,cpp colmenares,@shiningtwicexo,✌👊🚫,"Happiness, personality and productivity really matters. (Fan AccountðŸ’ž) â¤ðŸ’š",Anonymous,Apr-30,3978,3469,,"Kung ano yung naging pinagkakagawang kasamaan at kasalanan ni Joma Sison at yung mga alipores niya sa CPP-NPA-NDF (such as Zarate, Elago, Brosas, Castro, Cullamat, Gaite, Colmenares, CasiÃ±o, Ocampo, atbp.) ay nasa kamay ng nila Robredo, Lacson, Pacquiao, Moreno at Ka Leody.",,Text,05/02/2022 11:27,00-63.png,Emotional,0,1,0,0,,,Fabricated Colmenares' ties to the NPA [https://abkd.rappler.com/160/false-kasapi-ng-cpp-npa-ndf-ang-makabayan-partylists-colmenares-labog-at-de-guzman/] [https://verafiles.org/articles/vera-files-fact-check-yearender-a-relentless-stream-of-red-tagging-in-2022],No location was given.,,,,,
